"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Полный флоу заказа с двумя наборами данных","8274","Позитивный сценарий заказа самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"При клике на вопрос открывается соответствующий текст","1577","Проверка FAQ: вопрос №2","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","7287","Проверка FAQ: вопрос №4","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается соответствующий текст","1698","Проверка FAQ: вопрос №3","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","6679","Проверка FAQ: вопрос №1","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается соответствующий текст","1610","Проверка FAQ: вопрос №6","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"","1578","Переход по логотипу Яндекса","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"","1172","Переход по логотипу Самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"При клике на вопрос открывается соответствующий текст","1534","Проверка FAQ: вопрос №7","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","7377","Проверка FAQ: вопрос №2","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","5091","Проверка FAQ: вопрос №5","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается соответствующий текст","1471","Проверка FAQ: вопрос №4","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","5528","Проверка FAQ: вопрос №3","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"Полный флоу заказа с двумя наборами данных","7954","Позитивный сценарий заказа самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"При клике на вопрос открывается текст ответа","5523","Проверка FAQ: вопрос №6","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается соответствующий текст","1581","Проверка FAQ: вопрос №5","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается соответствующий текст","1877","Проверка FAQ: вопрос №0","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","7356","Проверка FAQ: вопрос №0","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается текст ответа","5791","Проверка FAQ: вопрос №7","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
"При клике на вопрос открывается соответствующий текст","1547","Проверка FAQ: вопрос №1","tests","2026-05-17","passed","2026-05-17","TestFaq","test_faq","",""
